latitude,longitude,number,Mean_WPD_kW_per_m
6.5,8.5,0,
6.5,9.0,0,
6.5,9.5,0,
6.5,10.0,0,
6.0,-5.0,0,
6.0,-4.5,0,
6.0,-4.0,0,
6.0,-3.5,0,
6.0,-3.0,0,
6.0,-2.5,0,
6.0,-2.0,0,
6.0,-1.5,0,
6.0,-1.0,0,
6.0,-0.5,0,
6.0,0.0,0,
6.0,0.5,0,
6.0,1.0,0,
6.0,1.5,0,6.0933
6.0,2.0,0,6.9908
6.0,2.5,0,7.8087
6.0,3.0,0,8.0725
6.0,3.5,0,8.3299
6.0,4.0,0,8.3061
6.0,4.5,0,7.4677
6.0,5.0,0,
6.0,5.5,0,
6.0,6.0,0,
6.0,6.5,0,
6.0,7.0,0,
6.0,7.5,0,
6.0,8.0,0,
6.0,8.5,0,
6.0,9.0,0,
6.0,9.5,0,
6.0,10.0,0,
5.5,-5.0,0,
5.5,-4.5,0,
5.5,-4.0,0,
5.5,-3.5,0,
5.5,-3.0,0,
5.5,-2.5,0,
5.5,-2.0,0,
5.5,-1.5,0,
5.5,-1.0,0,
5.5,-0.5,0,
5.5,0.0,0,7.3219
5.5,0.5,0,7.0892
5.5,1.0,0,7.7589
5.5,1.5,0,8.5905
5.5,2.0,0,8.7376
5.5,2.5,0,8.8413
5.5,3.0,0,8.8971
5.5,3.5,0,8.8812
5.5,4.0,0,8.8611
5.5,4.5,0,8.4733
5.5,5.0,0,7.0808
5.5,5.5,0,2.1397
5.5,6.0,0,
5.5,6.5,0,
5.5,7.0,0,
5.5,7.5,0,
5.5,8.0,0,
5.5,8.5,0,
5.5,9.0,0,
5.5,9.5,0,
5.5,10.0,0,
5.0,-5.0,0,7.2734
5.0,-4.5,0,7.7367
5.0,-4.0,0,8.0775
5.0,-3.5,0,7.9248
5.0,-3.0,0,5.5209
5.0,-2.5,0,
5.0,-2.0,0,
5.0,-1.5,0,3.9884
5.0,-1.0,0,4.897
5.0,-0.5,0,7.6078
5.0,0.0,0,8.5666
5.0,0.5,0,8.8522
5.0,1.0,0,8.9725
5.0,1.5,0,9.0222
5.0,2.0,0,9.047
5.0,2.5,0,9.0609
5.0,3.0,0,9.0636
5.0,3.5,0,9.0541
5.0,4.0,0,9.0209
5.0,4.5,0,8.8685
5.0,5.0,0,7.9625
5.0,5.5,0,4.2945
5.0,6.0,0,
5.0,6.5,0,
5.0,7.0,0,
5.0,7.5,0,
5.0,8.0,0,
5.0,8.5,0,
5.0,9.0,0,
5.0,9.5,0,
5.0,10.0,0,
4.5,-5.0,0,8.7249
4.5,-4.5,0,8.7937
4.5,-4.0,0,8.8338
4.5,-3.5,0,8.8547
4.5,-3.0,0,8.5653
4.5,-2.5,0,8.6367
4.5,-2.0,0,8.1968
4.5,-1.5,0,7.7345
4.5,-1.0,0,8.1999
4.5,-0.5,0,8.6745
4.5,0.0,0,9.0329
4.5,0.5,0,9.1042
4.5,1.0,0,9.1282
4.5,1.5,0,9.1461
4.5,2.0,0,9.1573
4.5,2.5,0,9.1656
4.5,3.0,0,9.1674
4.5,3.5,0,9.1629
4.5,4.0,0,9.1385
4.5,4.5,0,9.0673
